ReviewID,CustomerID,ProductID,ProductName,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket,DetectedIssue
1,77,18,Volleyball,2023-12-23,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
2,80,19,Hockey Stick,2024-12-25,5,The  quality  is    top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
3,50,13,Swim Goggles,2025-01-26,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
4,78,15,Climbing Rope,2025-04-21,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
5,64,2,Fitness Tracker,2023-07-16,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
6,81,1,Running Shoes,2025-12-21,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
7,16,1,Running Shoes,2024-01-29,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
8,55,8,Football Helmet,2024-08-15,5,The  quality    is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
9,3,13,Swim Goggles,2023-09-01,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
10,78,6,Tennis Racket,2024-06-17,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
11,54,9,Baseball Glove,2023-07-17,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
12,77,2,Fitness Tracker,2025-01-13,2,Product  did    not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
13,93,6,Tennis Racket,2024-08-20,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
14,23,2,Fitness Tracker,2025-06-16,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
15,29,11,Ski Boots,2023-01-27,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
16,95,17,Surfboard,2023-01-06,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
17,88,4,Dumbbells,2025-10-29,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
18,17,16,Kayak,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
19,34,13,Swim Goggles,2024-01-04,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
20,34,6,Tennis Racket,2023-04-29,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,-1.0 to -0.5,No Issue Detected
21,22,15,Climbing Rope,2023-04-08,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
22,52,3,Yoga Mat,2025-10-30,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
23,69,18,Volleyball,2023-07-02,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
24,100,4,Dumbbells,2025-07-18,3,"I  love  this    product,  will  buy  again!",0.6696,Mixed Positive,0.5 to 1.0,No Issue Detected
25,55,20,Boxing Gloves,2024-12-19,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
26,76,11,Ski Boots,2024-08-21,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
27,56,6,Tennis Racket,2025-11-24,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
28,76,8,Football Helmet,2025-05-27,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
29,38,13,Swim Goggles,2023-05-31,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
30,84,6,Tennis Racket,2024-03-18,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
31,93,4,Dumbbells,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
32,91,1,Running Shoes,2023-07-15,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
33,30,2,Fitness Tracker,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
34,81,15,Climbing Rope,2024-03-30,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
35,27,12,Ice Skates,2024-03-13,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
36,96,9,Baseball Glove,2025-12-05,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
